క్రియ,అర్థం,Primary sense-type,Secondary sense-type
అరగలిగొను,"అరవాయిగొను,వెనుదీయు;జంకు,సందేహించు",,
అరగొను,"వెనుదీయు,సందేహించు",,
అరలు,"వ్యాపించు,ప్రాకు",,
అరవరయగు,"క్రోధాదులచే క్షుభ్దుడగు,కలతనొందు",,
అరవాయిగొను,"వెనుదీయు,జంకు 2.శంకనొందు,సందేహించు",,
అరిగొను-అరిపడు,"అడ్డపడు,అడ్డముతగులు",,
అరుగుదెంచు-అరుదెంచు,"వచ్చు 2.అరుగు,వెళ్ళు",,
అరుదుపడు,ఆశ్చర్యపడు,,
అరచు-ఆర్చు,"ధ్వనిచేయు;కేకవేయు,బొబ్బపెట్టు 2.మొరపెట్టు 3.విలపించు,ఏడ్చు",,
అరిమికొను,అరిమిరోగము కలదియగు,,
అరు-ఆరు,"నశించు,క్షీణించు",,
అరుక్రమ్ము,చుట్టును క్రమ్ము;క్రమ్ము,,
అరుగు(వు),"క్షీణించు,తరుగు,కృశించు 2.జీర్ణమగు",,
అరుగుపడు,"క్షీణించు,చెడు",,
అరువు,"ఇనుము,లొంగు,అడగు 2.దక్కు",,
అరుము(ర్ము),"ప్రతిఘటించు,మార్కొను 2.సాహసించు, తెగించు 3.విజ్రుంభించు,అతిశయించు",,
అర్రాడు,"సమీపమున దిరుగు;ఇటునటుతిరుగు,చుట్టుచుట్టు తిరుగు 3.ఊగులాడు,ఆందోళన మొందు 3.తమకించు,తహతహపడు",,
అలంకరించు,అలంకారములు పెట్టు,,
అలజడిపడు,అలజడినొందు,,
అలమటించు,"దుహ్ఖించు,ఏడ్చు 2.విచారించు,అరయు,పరిశీలించు",,
అలమరు,"శ్రమపడు,బాధపడు 2.విలపించు,ఏడ్చు",,
అలము,"వ్యాపించు,ప్రసరించు ",,
అలముకొను,"ప్రసరించు,వ్యాపించు",,
అలయు,"శ్రమపడు,డయ్యు,ఆయాసపాడు 2.విసుగు, వేసారు 3.తడయు,విలంబముచేయు 4.చింతిల్లు,వగచు",,
అలరారు,"పుష్పించు 2.వికాసమునొందు;సంతోషించు 3.ఒప్పు,శోభిల్లు 4.కలుగు",,
అలరు,"(పుష్పము)విరియు,విచ్చు 2.పూచు,పుష్పించు 3.వికాసమును పొందు,శోభాయుక్తమగు 4.సంతోషించు,ఆనందించు 5.ఒప్పు 6.కలుగు,ఉదయించు",,
అలవడు(అలవు+పడు),"అభ్యస్తమగు,అబ్బు 2.పరిచితమగు,చనువు కలిగియుండు 3.కలుగు,లభించు 4.శక్యమగు,సాధ్యమగు 5.సిద్ధించు,నెరవేరు 6.తగు,అర్హమగు 7.కూడు,చేరు,కలియు 8.ఒప్పు 9.ఉండు 10.స్వాధీనమగు,వశమగు",,
అలుగులువారు,అలుగులనుండి ప్రవహించు నీరు వలె-ప్రవహించు,,
అలుగులువెడలు,అధికమగు,,
అలుగు(ల్గు)-అలువు,"కోపపడు 2.ద్వేషించు,పగగొను 3.హానిచేయు",,
అలుగులపడు(అలుగులము+పడు),"వ్యాకులతనొందు,సంక్షోభము నొందు",,
అలువు-అలుగు,కోపించు,,
"అల్లాడు-అల్లలనాడు,అల్లలాడు,అల్లల్లాడు","చలించు,వడకు 2.భయాదులచే క్షోభపడు 3.తిరుగు",,
అల్లిబిల్లిగొను,కలసిమెలసియుండు 2.పెనగొను,,
అల్లు,"అల్లుకొను,పెనగొను",,
అల్లుకొను,"పెనగొను 2.వ్యాపించు,ప్రసరించు",,
అళుకు,అలుకు,,
అవఘలించు,"సరియగు,తుల్యమగు 2.వ్యాపించు,ప్రసరించు",,
అవమానపడు,అవమానము నొందు,,
అవియబడు,(స్వార్థమున'పడు') బ్రద్దలగు,,
అవియబారు,(స్వార్థమున'పారు') పగులు,,
అసలారు-ఎసలారు,"అతిశఇల్లు,అధికమగు 2.ఒప్పు",,
అసలుకొను,"బురదవలెనగు 2.పంకిలమగు,బురద కలదియగు",,
అసియాడు,"కదలు,అల్లలాడు;వడకు 2.చలించు,చెదరు 3.సంచరించు,తిరుగు",,
అసివోవు,"క్షీణించు,నశించు 2.తప్పిపోవు",,
ఆకపడు,"నిరుద్ధమగు,ఆటంకమునొందు",,
ఆకలిగొను,"క్షుత్తునొందు,క్షుధితమగు",,
ఆకొను,"ఆకలిగొను,క్షుత్తునొందు",,
ఆగు,"నిలబడు,నిలిచిపోవు 2.సైచు,ఓర్చు 3.ఉడుగు,విరమించు",,
ఆక్రోశించు,"(భయాదులచే)అరచు,వాపోవు",,
ఆగుబ్బుకొను,"అతిశయించు,వ్యాపించు",,
ఆగుబ్బులురేగు,"మిక్కుటమగు,అతిశయించు",,
ఆజ్ఞపడు(ఆజ్ఞ+పడు),"ఆజ్ఞావశుడగు;చిక్కు,తగులువడు",,
ఆడికపడు,"దూరుపడు,నిందితుడగు",,
ఆడు,"చలించు,కదలు 2.(అవయవాదులు స్వకార్యమందు)ప్రవర్తించు 3.సంచరించు,తిరుగు;విహరించు 4.మునుగు,స్నానముచేయు 5.క్రీడించు 6.నర్తించు 7.కాడు,గ్రుచ్చుకొను",,
ఆతురపడు,"తొందరపడు,త్వరపడు",,
ఆత్రపడు,"త్వరపడు,కలవలపడు",,
ఆదటపోవు,"తనియు,తృప్తినొందు",,
ఆదమరచు,"స్మృతితప్పు,వివశత్వము నొందు 2.ఉన్మత్తుడగు 3.ప్రమత్తుడగు",,
ఆదికొ(గొ)ను,ఎదుర్కొను,,
ఆదుకొను,"క్రమ్ము 2.ప్రాపగు,ఆధారమగు",,
ఆను,"మోచు,అంటు;నిలిచియుండు 2.గోచరమగు,కనబడు 3.నచ్చు,ఇష్టమగు",,
ఆపోవు(ఆదట+పోవు),తృప్తినొందు,,
ఆమతించు-ఆమతిలు,"పుట్టు,కలుగు",,
ఆముకవియు,"మదమెక్కు,క్రొవ్వు 2.అధికముగావ్యాపించు,మిక్కుటముగాపర్వు",,
ఆయత్తపడు(ఆయత్తము+పడు),సిద్ధపడు,,
ఆయాసపడు(ఆయాసము+పడు),శ్రమపడు,,
ఆయితపడు-ఆయిత్తపడు,"సిద్ధపడు,సిద్ధమగు",,
ఆయిత్తపడు-ఆయితపడు,"సిద్ధపడు,సిద్ధమగు",,
ఆరటపడు,సంతాపపడు;బాధపడు,,
