adjective,meaning,Primary sense-type,Secondary sense-type
రుహము,"సమాసాంతమున మొలిచినది, బయలుదేరినది",,
రూక్షము,"కఠినమైనది, కఱకైనది 2.ఒగరైనది ౩.ఎండినది, శుష్కమైనది",,
రూఢము,"మొలిచినది, మొలక యెత్తినది 2.పుట్టినది, ఉద్భవించినది ౩.ప్రసిద్ధమైనది, సర్వవిదితమైనది 4.నిశ్చితమైనది, రూఢీయైనది 5.ఆవయవశక్తిని అపేక్షింపక క్రొత్తయర్థమందు ప్రసిద్ధమైనది",,
రూపకము,"మూర్తము, ఆకారము కలది",,
రూపరి/రూపసి,"రూపవంతుడు, సౌందర్యవంతుడు సౌందర్యవతి",,
రూషితము,"ధూళి మొ,వానిచే కప్పబడినది 2.కఱకుగా చేయబడినది ౩.రత్నఖచితమైనది",,
రెంట,రెండర్థములు గలది,,
రెచ్చల,జగడాలమారి,,
రెట్టింపు,ద్విగుణితము,,
రెప్పము,పూర్ణము,,
రేచకము,"కల్మషము పోగొట్టునది 2.బేదిచేయునది, విరేచన కారియైనది",,
రేపము,"నింద్య మైనది, నీచమైనది 2.కఠినమైనది, క్రూరమైనది, ౩.కృపణమైనది",,
రేపస్సు/రేఫస్సు,"నీచమైనది 2.దుష్టమైనది, చెడ్డది ౩.కృపణమైనది 4.క్రూరమైనది, ఆరణ్యకమైనది",,
రేఫము,"నీచమైనది, నింద్యమైనది",,
రేవడు,అవివేకి,,
రేసు,చులకనిది,,
రైత్వము,ఇత్తడితో చేయబడినది,,
రొడ,ఎడమ,,
రోత,"ఏవగలిగించునది,జుగుప్సావహము",,
రోతలమారి,"ఏవపనులు చేయుస్వభావము కలవాడు, కలది",,
రోగహారి,"రోగమును మాన్పువాడు, జబ్బు కుదుర్చువాడు",,
రోగి,"రోగముగలవాడు, జబ్బుతోనున్నవాడు",,
రోచకము,"ప్రకాశింపజేయునది 2.మనోహరమైనది, ఇంపైనది ౩.ఆకలి వృద్ధిచేయునది, ఆకలి పుట్టించునది",,
రోచనము,"ప్రకాశింప జేయునది 2.ఇంపైనది, మనోహరమైనది ౩.ఆకలి పుట్టించునది",,
రోచమానము,"ప్రకాశించునది 2.మనోజ్ఞమైనది, అందమైనది",,
రోచిష్ణువు,"ప్రకాశించునది, కాంతిగలది 2.సొగసుగా నుండునది అందముగా నుండునది, నవయౌవనము ౩.ఆకలి పుట్టించునది",,
రోధకము,"ఆపునట్టిది, అణచునట్టిది",,
రోపితము,"పాతబడినది, నాటబడినది 2.ఆరోపితము, ఆరోపణ చేయబడినది",,
రోమళము,"రోమములుగలది, బొచ్చునది",,
రోమహర్షణము,"పులకరింపజేయునది, గగుర్పాటు గలిగించునట్టిది, భయము పుట్టించునది",,
రోమాంచితము,"గగుర్చొడుచునది, లోమాంచితము",,
రోషణుడు,"కోనశీలముకలవాడు, ముక్కోపి, సులభముగా కోపమువచ్చువాడు",,
రోసగాడు,"రోషవంతుడు, రోషముగలవాడు",,
రోసు,"పలుగాకి, దుష్టుడు",,
రోసుబడి,రోతగొట్టు,,
రోహము,"మొలచునది, మొలక యెత్తునది 2.ఎక్కువది, ఆరోహించునది",,
రోహి,"మొలచునది, పెరుగునది 2.ధార్మికుడు",,
రోహితము,"అగ్ని హోత్రుని వాహనము 2.ఎఱ్ఱనిది, ఎఱుపు రంగు గలది",,
రొద్రము,"తీవ్రమైనది, కోపముగలది 2.భయంకరమైనది, వెఱపుగలిగించునది ౩.రుద్రుని సంబోధించునది లేక స్తుతించునది",,
రౌరవము,"రురుచర్మముతో జేయబడినది 2. భయంకరమైనది ౩.చంచలమైనది 4.మోసముచేయునది, ధూర్తమైనది",,
ఱంకులగొండి,ఱంకు తనపుస్వభావముగలది,,
ఱంతు = రంతు,పెద్దధ్వని కలది,,
ఱంపులాడి,"కలహశీలురాలు, జగడగొండి",,
ఱాగ,"ధూర్తుడు, ధూర్తురాలు, ధూర్తము",,
ఱొడ,"వామము, ఎడమ",,
ఱొడ్డు,అధికము,,
లంఘనీయము,"దాటదగినది, దాటవలసినది 2.ఉల్లంఘింపబడినది, అతిక్రమింపబడినది ౩.పట్టుకొనదగినది లేక కలిసికొనదగినది 4.అశ్రద్ధచేయునది, నిర్లక్ష్యపఱుపదగినది, అమర్యాదపఱుపదగినది 5.విడువదగినది, మానుకొనదగినది, ఉపవసింపదగినది",,
లంఘితము,"దాటబడినది 2.అడ్డగింపబడినది ౩.ఉల్లంఘింపబడినది, మీఱుబడినది 4.అమర్యాదపఱుపబడినది, అవమానపఱుపబడినది, అగౌరవపఱుపబడినది 5.పట్టు కొనబడినది, బాధింపబడినది",,
లంజెకాడు,విటుడు 2.ఒకానొక తిట్టు,,
లండి = లండు/లండుబోతు,"కుత్సితుడు, కుత్సితురాలు",,
లంద,"పొట్టవాడు, తుందిలుడు",,
లంపటుడు,"ఆశగలవాడు, అత్యాశగలవాడు 2.కామాతురుడైనవాడు ౩.నీతి బాహ్యమైన యానందమునకు లోనైనవాడు, విషయాసక్తుడు",,
లంపులమారి,దొంగమేతమేయు స్వభావము గలది,,
లంబజఠరుడు,"పెద్దపొట్ట గలవాడు, స్థూలకాయుడు, లావైనవాడు",,
లంబము,"వ్రేలాడుచున్నది 2.ఒకదానియం దంటియున్నది, అనుబద్ధమైనది ౩.పొడవైనది, దీర్ఘమైనది",,
లంబస్ఫిక్కు,"లంబస్ఫిచుడు, బలసిన పిఱుదులుగలవాడు, లేక ఎత్తైనపిఱుదులు గలవాడు",,
లంబోదరుడు,"పెద్ద కడుపుగలవాడు, బానకడుపువాడు",,
లంబితము,"ఉద్భవించినది, పుట్టినది 2.పొందబడినది, సంపాదింపబడినది ౩.ఈయబడినది 4,వృద్ధి చేయబడినది 5.పనిలో బెట్టబడినది, ఉపయోగపఱుప బడినది, వినియోగింపబడినది 6.పెంపబడినది, పోషింపబడినది 7.పిలిచి చెప్పబడినది; సంబోధనపూర్వముగా జెప్పబడినది",,
లక్ష్యము,"పరోక్షముగా దెలుపునది, అప్రధానముగా దెలుపునది, లక్ష్యార్థమును దెలుపునది",,
లక్షణజ్ఞుడు,"సాముద్రికము తెలిసినవాడు, శరీరముమీది చిహ్నములు దెలిసినవాడు",,
లక్షణభ్రష్టుడు,"భాగ్యహీనుడు, దురదృష్టవంతుడు",,
లక్షణాన్వితుడు,శుభసూచకమగు చిహ్నములతో గూడినవాడు; మాంగల్య చిహ్నములు గలవాడు,,
లక్షణ్యము,గుఱుతుగానుపయోగపడునది 2.మంచి చిహ్నములుగలది,,
లక్షము,"నూఱువేలు 2.గుర్తు, గుఱి, లక్ష్యము, తుపాకిగుఱిపెట్టుట, నేర్చుకొనువాడ్రు పెట్టుకొను గుర్తు ౩.ఆనవాలు, చిహ్నము, గుఱుతు 4.పైకి జూవుట నటనము, మోసము, మాఱువేషము",,
లక్షితము,"చూడబడినది, కనుపెట్టబడినది, గుఱుతుపెట్టబడినది 2.సూచింపబడినది, తెలుపబడినది ౩.వర్ణింపబడినది, లక్ష్యణములు చెప్పబడినది, ప్రత్యేకపఱుపబడినది, అసాధారణలక్షణములతో వర్ణింపబడినది 4.నిర్వచింపబడినది, విశేష లక్షణములతో జెప్పబడినది 5.లక్ష్యముగా జేయబడినది 6.లక్షణచే జెప్పబడినది, పరోక్షముగా జెప్పబడినది, సూచన చేయబడినది 7.పరిశీలింపబడినది,విమర్శింపబడినది 8.ఆలోచింపబడినది, తలపబడినది, ఎంచబడినది",,
లక్ష్మీవంతుడు,"భాగ్యవంతుడు, అదృష్టవంతుడు 2.సంపద గలవాడు, ధనవంతుడు, వృద్ధిలోకి వచ్చువాడు ",,
లక్ష్యము,"చూడదగినది; కనిపెట్టదగినది 2.సూచింపదగినది ౩.గుర్తుపట్టదగినది, గ్రహింపదగినది 4.గుర్తుపెట్టదగినది, నై సర్గికగుణములతో దెలుపదగినది 5.నిర్వచింపదగినది, విశేష లక్షణములతో జెప్పబడినది 6.గుఱియుంచదగినది, లక్ష్యముంచదగినది 7.గౌణవృత్తిచే జెప్పబడినది 8.ఎంచదగినది, ఆలోచింపదగినది",,
లక్ష్యసుప్తుడు,"నిద్రించుచున్నట్లు నటించువాడు, దొంగనిద్రపోవువాడు",,
లక్ష్యహము,బాణము,,
లక్ష్యహుడు,లక్ష్యమునుగొట్టువాడు,,
లక్షడము,"సుందమైనది, మనోజ్ఞమైనది",,
లగితము,"అంటుకొనినది, తగులుకొనినది, విడువకుండగ బట్టుకొనినది 2.సంబద్ధమైనది, అనుబంధముగలది కలసికొనినది ౩.పొందబడినది, సంపాదింపబడినది",,
లగువు,"చులకనిది, లఘువు",,
లగ్నగ్రహుడు,"పట్టినపట్టు విడువనివాడు, గట్టిగబట్టుకొనెడివాడు",,
లగ్నము,"తగులుకొనినది, చిక్కుకొన్నది 2.ఆసక్తము ౩.కలిసికొనినది, కూడుకొనినది 4.లజ్జితము, సిగ్గుపడినది",,
లఘిష్ఠము,మిక్కిలి తేలికయైనది 2.మిక్కిలి నీచమైనది,,
లఘుక్రముడు,"వడిగల కాలుకాలవాడు, వేగముగా బోవువాడు",,
లఘుచిత్తుడు/లఘుచేతసుడు/లఘుచేతస్కుడు,"తేలికయైన మనసుగలవాడు, నీచహృదయముగలవాడు 2.ఆప్రయోజకుడు ౩.చంచలుడైనవాడు, స్థిరబుద్ధి లేనివాడు, చంచల చిత్తుడు",,
లఘుద్రావి,సులభముగా గరగునది,,
లఘుపాకము/లఘుపాకి,సులభముగా జీర్ణమగునది,,
లఘుప్రయత్నము,సులభమైన యుచ్చారణ గలది,,
లఘుప్రయత్నుడు,"అలసుడు, సోమరియైనవాడు",,
లఘురాశి,తక్కువరాసులు గలది,,
లఘువాససుడు,చులకని బట్ట కట్టుకొనినవాడు; పరిశుద్ధమైనబట్ట కట్టుకొనినవాడు,,
లఘువృత్తి,"చెడునడతగలవాడు, నీచుడు 2.అల్పుడు, తేలికబుద్ధి గలవాడు; తుచ్ఛుడు ౩.పాడుచేయబడినది, అనుకూలముగా జేయబడనిది",,
లఘువేధి,నిపుణతతో గుఱిపై గొట్టినవాడు,,
లఘుసముత్థానుడు/ లఘూత్థానుడు,చుఱుకుగా బనిచేయువాడు,,
లఘుహస్తుడు,"చుఱుకైన చేయిగలవాడు, పనివానితనము గలవాడు, ప్రవీణుడైనవాడు 2.చుఱుకు గలవాడు",,
లఘుహృదయుడు,లఘుచిత్తుడు,,
లఘూకృతము,"నీచముగా నెంచబడినది, తృణీకరింపబడినది, నిందింపబడినది 2.సంక్షేపముగా జేయబడినది, తగ్గించబడినది ౩.పరిమాణములో దగ్గింపబడినది",,
లఘ్వాశి/లఘ్వాహారుడు,"కొంచెము తినెడివాడు, మితభోజి",,
లజ్జాకరము,"సిగ్గును గలిగించునది, సిగ్గు పుట్టించునది, అమర్యాద గలిగించునది, అవమానకరమైనది",,
లజ్జాలువు,"సిగ్గరి, సిగ్గుగలవాడు",,
లజ్జావంతుడు,"సిగ్గరి, సిగ్గుగలవాడు 2.కలవరముగలవాడు, సంభ్రము చెందినవాడు",,
లజ్జావహము,"సిగ్గును గలిగించునది, సిగ్గు పుట్టించునది, అమర్యాద కరము, అవమానకరమైనది",,
లజ్జాశీలుడు,సిగ్గరి;లజ్జగల స్వభావముగలవాడు,,
లజ్జితుడు,"సిగ్గుపడినవాడు, శృంగారాదులయందు మనస్సంకోచము గలవాడు",,
లటభము,"మనోహరమైనది, అందమైనది, ఇంపైనది",,
లపితము,"పలుకబడినది, చెప్పబడినది, వదరబడినది",,
లబ్ధకాముడు,"పొందబడిన కోరికగలవాడు, కోరిక వస్తువు సంపాదించినవాడు",,
లబ్ధకీర్తి,"పొందబడిన కీర్తిగలవాడు, కీర్తిగలవాడు, ప్రఖ్యాతిగలవాడు ",,
లబ్దచేతు(తసు)డు,"పొందబడిన చైతన్యముగలవాడు, మాఱుస్మృతి వచ్చినవాడు",,
లబ్ధజన్ముడు,"పొందబడినజన్మముకలవాడు, పుట్టినవాడు, ఉద్భవించినవాడు",,
లబ్ధనాముడు,"పేరు పొందినవాడు, కీర్తిగలవాడు, ప్రఖ్యాతి పొందినవాడు",,
లబ్ధము,"పొందబడినది, సంపాదింపబడినది 2.పుచ్చుకొనబడినది, స్వీకరింపబడినది ౩.గ్రహింపబడినది, తెలిసికొనబడినది 4.భాగహారముచేయగా నేర్పబడినది",,
లబ్ధలక్షకుడు/లబ్ధలక్ష్యుడు,పొందబడిన లక్ష్యము గలవాడు 1.లక్ష్యము కొట్టినవాడు 2.అస్త్రప్రమోగము నందు నేర్పుగలవాడు,,
లబ్ధవర్ణుడు,"విద్వాంసుడైనవాడు, చదువుకొనినవాడు 2.ప్రఖ్యాతి పొందినవాడు, ప్రసిద్ధుడు",,
లబ్ధశబ్ధుడు,"పేరు పొందినవాడు, ప్రఖ్యాతి సంపాదించినవాడు",,
లబ్ధసంజ్ఞుడు,"పొందబడిన చైతన్యము గలవాడు, తెలివి వచ్చినవాడు",,
లబ్ధసిద్ధి,"పరిపూర్ణ తను సంపాదించినవాడు 2.కామితార్థమును సంపాదించినవాడు, కోరిక నెఱవేర్చుకొనినవాడు",,
లబ్ధాంతరుడు,"సమయము దొరకినవాడు, తరుణము కనిపెట్టినవాడు 2.పొందబడిన ప్రవేశముగలవాడు, ప్రవేశమును సంపాదించినవాడు",,
లభ్ఖావకాశుడు,"సమయము లేక తరుణము కనిపెట్టినవాడు 2.తెఱపి గలవాడు, పొందబడిన విరామము గలవాడు",,
లబ్ధిమము/లబ్ఖోదయము,"పుట్టినది, ఉద్భవించినది, బయలుదేఱినది 2.సంపత్తు పొందినది, అభివృద్ధి పొందినది",,
లభ్యము,"సంపాదింప శక్యమైనది లేక పొందశక్యమైనది, పొందదగినది, అందుకొనశక్యమైనది, అందుకొనదగినది 2.గ్రహింపదగినది, తెలిసికొనదగినది ౩.అర్హమైనది, తగినది, యుక్తమైనది 4.స్పష్టమైనది, చక్కగ దెలియునది 5.ఆమర్చదగినది, సిద్ధపఱుపదగినది",,
లయకాడు/లయకారి,మోసకాడు,,
లయగతము,కరగినది ద్రవముగా నయినది,,
లలజిహ్వము,వ్రేలాడు నాలుకగలది,,
లలజ్జిహ్వము,"నాలుక వ్రేలాడ్చునది 2.క్రూరమైనది, భయంకరమైనది ",,
లలము,"క్రీడాశీలమైనది, ఆటలాడునది 2.వ్రేలాడ్చు కొనియుండునది ౩.కోరునది, కోరికగలది",,
లలాటంతపము,"నుదుటిని మాడ్చునది, లేక నుదురు కందజేయునది 2.మిక్కిలి బాధపెట్టునది, చాల బాధగలిగించునది",,
లలాటూలుడు,ఎత్తైన లేక అందమైన లలాటము గలవాడు,,
లలితపదము,సొగసైన పదములు గలది 1.సొగసుగా రచింపబడినది 2.సృంగారరస సంబంధమైనది పదములుగలది,,
లలితము,"క్రీడాశీలము, ఆటలాడునది, సయ్యాటలాడునది 2.మనోహరమైనది, అందమైనది, సొగసైనది ౩.ఉల్లాసకరమైనది, సంతోషకరమైనది 4.మంచిది 5.కోరబడినది, ఈప్సితమైనది 6.మృదువైనది, సుకుమారమైనది 7.వణకెడునది, కంపముగలది",,
లలితలలితము,"మిక్కిలి యందమైనది, అత్యంతసుందరమైనది",,
లలితలులితము,దుర్బలమైనదియైనకు మనోహరమైనది,,
లలితాభినయము,సొగసైన యభినయము గలది,,
లలితార్థము,అందమైన లేక శృంగారసంబంధమైన యర్థము గలది,,
లలితుడు,"కామాతురత గలవాడు; విషయాసక్తుడైనవాడు, భోగిములయం దాసక్తి గలవాడు",,
లవణము,"ఉప్పుగా నున్నది 2.మనోహరమైనది, అందమైనది",,
లవలవ,"భేదిల్లినది, బ్రద్దలయినది",,
లవి,వాడిగలది,,
లవిటి,"బధిరుడు, చెవిటివాడు",,
లసితము,"ఆటలాడినది, క్రీడాశీలమైనది 2.కనుపడినది, రూపము దాల్చినది ౩.అవతరించినది, దుమికినది, దిగినది",,
లస్తము,"కౌగిలింపబడినది 2.ప్రవీణతగలది, నేర్పుగలది",,
లాంగడము,విశాలము,,
లాంగలికము,"లాంగలసంబంధి, నాగలికి సంబంధించినది",,
లాతు,"మిక్కిలి, అధికము",,
లాకుటికుడు/లాగుడికుడు,దుడ్డుకఱ్ఱ యాయుధముగా గలవాడు,,
లాక్షణికుడు,లక్షణజ్ఞుడు; సంజ్ఞలను సాముద్రిక చిహ్నములను ఎఱింగినవాడు,,
లాక్షణ్యము,శుభాశుభసూచములైన లక్షణములుకలది 2.శుభాశుభములను సూచనచేయునది,,
లాక్షణ్యుడు,లక్షణములు తెలిసినవాడు,,
లాక్షారక్తము,లత్తుకతో రంగువేయబడినది,,
లాక్షితము,లత్తుక సంబంధమైనది 2.లత్తుకతో జేసినది ౩.లత్తుకతో రంగువేయబడినది 4.లక్ష్యసంఖ్యకు సంబంధించినది,,
లాగి,"చులుకనిది, లఘువు",,
లాటకము,లాట దేశస్థులకు సంబంధించినది,,
లాడా,నిడుపైనది,,
లాతము,"పుచ్చుకొనబడినది, తీసికొనబడినది",,
లాలగాడు,లాభము నొందువాడు,,
లాభాకరము,లాభము గలుగజేయునది,,
లాభకృత్తు,లాభము కలిగించునది,,
లాలకుడు,"లాలించువాడు, బుజ్జగించువాడు",,
లాలనము,"బుజ్జగించునది, లాలించునది",,
లాలసము,"ఆత్రముతో గోరునది, తీవ్రవాంఛగలది 2.ఆసక్తిగలది, మిక్కిలి యిష్టముగలది, తదేకధ్యానము గలది",,
లాలాటికము,"నుదిటి మీద నున్నది, నుదుటికి సంబంధించినది 2.అదృష్టమువలన బయలుదేఱినది, అదృష్టాధీనమైనది 2.నిప్ప్ర్హ యోజనమైనది, నికృష్టమైనది 4.జాగరూకతగలది, శ్రద్ధగలది",,
లాలితము,"లాలనచేయబడినది, బుజ్జగింపబడినది, ముద్దుచేయబడినది 2.చెడుత్రోవకు ద్రిప్పబడినది, చెఱుపబడినది ౩.ప్రేమింపబడినది",,
లాలు,"ఎఱుపురంగు గలది, రక్తము",,
లావణము,"ఉప్పనిది, ఉప్పువేసి వండబడినది, ఉప్పువేయబడినది",,
లావణికము,"ఉప్పువేయబడినది, ఉప్పువేసి వండబడినది 2.అందమైనది, చక్కనిది",,
లావము,"ఖండించునది, ముక్కలుచేయునది 2.చీల్చునది, కోయునది ౩.చంపునది, నశింపజేయునది",,
లావరి,"బలముగలది, బలముగలవాడు",,
లావు = లాగు,"అధికము, హెచ్చు",,
లాఘకము,"లోభగుణము కలది, అత్యాశకలది",,
లాసకము,"ఆడునది, కుప్పిగంతులు వేయునది 2.ఇటునటుగదలునది",,
లింగధారి,చిహ్నము ధరించినవాడు,,
లింగవర్ధనము,లింగోత్థాపనము గలిగించునది,,
లింగవృత్తి,"వంచనచేయువాడు, మోసగాడు",,
లింగవృత్తుడు,"ధర్మద్వజి, పొటపోసికొనుటకై లింగజటారు ద్రాక్షాదులు ధరించువాడు",,
లింగనదర్థుడు,శివుని విషయమున మంచి కార్యములు చేయువాడు,,
లింగి,"చిహ్నముగలది, గుఱుతుగలది 2.కపటవేషమును ధరించునది ౩.మంచి లక్షణము గలది 4.శివలింగమును ధరించినది, లింగధారి",,
లింపటుడు,"భోగాసక్తుడు, కామాతురుడు",,
లిభితము,"వ్రాయబడినది 2.చిత్తరుప వ్రాయబడినది ౩.గీయబడినది, గోకబడినది",,
లిభితవ్యము,"వ్రాయదగినది, లేఖ్యము",,
లిపిజ్ఞుడు,"లిపి తెలిసినవాడు, వ్రాతనేర్చినవాడు",,
లిప్తకము,విషము పూసినది,,
లిప్తము,"పూయబడినది, కప్పబడినది 2.మలినముగా జేయబడినది, కలకితము ౩.పాడుచేయబడినది 4.విషయముతో బూయబడినది 5.తినబడినది, భుజింపబడినది 6.కలసినది, కూడుకొన్నది",,
లిప్సువు,పొందనిచ్చగించువాడు 2.లాభమునొంద గోరువాడు ౩.అత్యాశగలవాడు,,
లియ్యము = లియము,"మిక్కిలి కలసినది, లీనము",,
లిష్టము,"క్షీణించినది, తగ్గినది, వ్యర్థపఱుపబడినది",,
లీఢము,"ఆస్వాదింపబడినది, రుచిచూడబడినది, తినబడినది, భుజింపబడినది 2.స్పృశింపబడినది, తాకబడినది",,
లీడము,"అంటుకొనియున్నది, తగిలియున్నది 2.దాగియుండినది, పొంచియున్నది ౩.ఆశ్రయించియున్నది, ఆధారపడినది, ఆనుకొనునది 4.కరగినది 5.కలసిపోయినది, ఐక్యమొందినది 6.తదేకాయత్తమైనది 7.అంతర్ధానమైనది, కన్పడనిది, అగోచరమైనది",,
లీయము = లియ్యము,"కలిసినది, సక్తము",,
లీలాంగుడు,"అందమైన యవయవములు గలవాడు, చక్కనివాడు",,
లీలాంచితము,లీలచే నొప్పునది,,
లీలాచతురుడు,ఆటలలో బ్రవీణుడు,,
లీలావంతుడు,"ఆటలాడు స్వభావము గలవాడు, ఆటకాడు 2.సుందరపురుషుడు, అందగాడు",,
లుంచితము,"తోలు బలువబడినది 2.త్రుంపబడినది, త్రెంపబడినది",,
లుంటాకము,దొంగిలించునది; దోచుకొనునది,,
లుఠితము,దొర్లినది; నేలపై బొర్లినది,,
లుప్తపదము,లోపించిన పదములు గలది; కొన్ని పదములు లేనిది,,
లుప్తపిండోదాకక్రియుడు,లోపించిన శ్రాద్దకర్మగలవాడు; ఉత్తర క్రియలు లేనివాడు,,
లుప్తప్రతిజ్ఞుడు,లోపించిన ప్రతిజ్ఞ కలవాడు; భ్రష్ట ప్రతిజ్ఞుడు; ఆడినమాట తప్పినవాడు,,
లుప్తప్రతిభుడు,లోపించిన ప్రతిభగలవాడు; నవనవోనేష్మమైన బుద్ధిలేనివాడు,,
లుప్తము,"పగులగొట్టబడినది 2.అతిక్రమింపబడినది, ఉల్లంఘింపబడినది ౩.నశింపజేయబడినది 4.పోయినది, అగోచరమైనది 5.దోచుకోనబడినది, కొల్లపెట్టబడినది 6.లోపింపజేయబడినది 7.తీసినేయబడినది, అశ్రద్ధచేయబడినది 8.ఉపయోగములోలేనిది, వాడుకలో లేనిది",,
లుబ్ధుడు,"లోభి, అత్యశాగలవాడు 2.కోరునట్టివాడు, అత్యాసక్తిగలవాడు",,
లుభితము,కలవరపడినది,,
లులితము,"కదలినది, ఇటు నటు జరిగినది 2.కంపము నొందినది; తరంగములు గలదిగా జేయబడినది 4.చెదరగొట్ట బడినది; రేపబడినది, హాని కలిగింపబడినది 6.నొక్కునది, అదుము చుండునది 7.మార్గాయాసముగలది, బడలినది 8.సొగసైనది, అందమైనది",,
లుల్లిగాడు,"కీడ్వడినవాడు, అధముడు",,
లూనకము,"ఖండింపబడినది, విడదీయబడినది",,
లూనము,"ఖండింపబడినది, తెగగొట్టబడినది, ఛేదింపబడినది 2.కోయబడినది, నశింపజేయబడినది 4.కొఱుకబడినది, కొఱికి తినబడినది 5.గాయపఱుపబడినది",,
లెంగిలి,"ప్రియమైనవాడు, ఇష్టుడు",,
లెక్కకాడు,"గణకుడు, లెక్కలు వ్రాయువాడు",,
లెయ్యంబు,"నెయ్యము, స్నేహము",,
లెస్స,క్షేమయుక్తము,,
లెస్సవాడు,యోగ్యుడు,,
లేబరువు,నూతనము,,
లేకరి,"లేఖకుడు, వ్రాయసకాడు",,
లేకి,అప్రయోజకుడు,,
లేకివాడు,లేకిగింజలేరికొని బ్రతుకువాడు,,
లేఖనము,"వ్రాయునది; చిత్తరువు వ్రాయునది, బొమ్మలను వేయునది 2.గోకునది, గీరునది",,
లేఖ్యకృతము,వ్రాతయందుంచబడినది; వ్రాతమూలముగా జేయబడినది,,
లేఖ్యగతము,"చిత్తరువుగా వ్రాయబడినది, చిత్రీకృతము",,
లేఖ్యము,"వ్రాయునది; గీయదగినది; చిత్తరువు వ్రాయదగినది 2.గీఱదగినది, గోకదగినది ౩.వేల్పులకు బ్రియమైనది",,
లేఖ్యారూడము,వ్రాతయందుంచబడినది,,
లేదుబంతి,లేనిది,,
లేని,ఉండనిది,,
లేపి,"పూయునది,రాచునది; కప్పునది",,
లేబరము,వ్యర్థము 2.శూన్యము ౩.దీనము 4.దారిద్ర్యము,,
లేమ,లేత,,
లేహ్యము,"పెదవులతో బీల్చదగినది, నాలుకతో నాకదగినది",,
లైంగికము,"లింగము పై నాధారపడునది 2.లింగసంబంధమైనది ౩.అనుమితము, ఊహింపబడినది",,
లొచ్చు = లొజ్జు,కొఱతయైనది,,
లొజ్జు = లొచ్చు,తక్కువ,,
లొట = లొట్ట,అణగినది,,
లొడ్డు,ఱొడ్డు,,
లొల్లకా(గా)డు,దరిద్రుడు,,
లొల్లి,"తఱచు, ఘనము",,
లోకువ,"అధీనము, వశము",,
లోతిడి,లోతులేనిది,,
లోతు,"పల్లము, నిమ్మము",,
లోకంపృణము,"లోకమును నిండించునది, లోకమంతటను వ్యాపించునది",,
లోకకల్పము,కొంచెము తక్కువగా ప్రపంచమునలెనున్నది 2.లోకముచే గారవింపబడినది,,
లోకకాంతుడు,"లోకమున కిష్టుడైనవాడు, సర్వజనసమ్మతుడు",,
లోకజ్ఞుడు,"లోక స్వభావమెఱిగినవాడు, కలోజ్ఞానము గలవాడు",,
లోకప్రసిద్ధము,"అందఱకును దెలిసినది, లోకమున బ్రసిద్ధికెక్కినది",,
లోకబాహ్యుడు,"వెలివేయబడినవాడు, జాతి నుండి బహిష్కరింపబడినవాడు 2.లోకముతో భేదించినవాడు, లోకవిరుద్ధుడు",,
లోకభావనుడు,"లోకక్షేమమును దలంచువాడు, లోకక్షేమమును వృద్ధి పొందించువాడు",,
లోకవిద్విష్టుడు,"లోకముచే ద్వేషింపబడినవాడు, జను లసహ్యించు కొనువాడు",,
లోకసాక్షితము,"లోకము సాక్షిగాగలది, ఎల్లవారు ననుమతించినది",,
లోకసిద్ధము,"జనులవాడుకలో నున్నది, మామూలుగా నున్నది 2.అందఱచేత నంగీకరింపబడినది",,
లోకహితము,"జనోపకారమైనది, అందఱకును మేలు కలిగించునది",,
లోకాతిగము,"ప్రపంచమును మించినది, అసాధారణమైనది",,
లోకాధికము,"ప్రపంచమునకంటె వదికమైనది, అసాధారణమైనది",,
లోకాయతుడు,"నాస్తిక వాదము చేయువాడు, ఆత్మ లేదనువాడు",,
లోకోత్తరుడు,"ప్రపంచమును మించినవాడు,అసాధారణుడు",,
లోక్యము,"లోకమున వ్యాపించినది 2.ఆచారప్రాప్తమైనది, మామూలైనది ౩.సరియైనది, యథార్థము, ఉతమలోకమును సంపాదించుట కనుకూలమైనది 4.స్వర్గసంబంధమైనది 5.స్వాతంత్ర్యమునకవకాశము నిచ్చునది",,
లోచనము,"ప్రకాశింపజేయునది, కనబడునది 2.దృశ్యమైనది",,
లోటు,"తక్కువ, న్యూనము",,
లోతక్కువ,"శేషము, మిగిలినది",,
లోపాయకారి,రహస్యముగా నొకరి పక్షమున నున్నది,,
లోపి,హానిచేయునది,,
లోపు,"స్వీయము, తనది",,
లోభనము,"ఆకర్షించునది, మోహింపజేయునది, ఆశ గలిగించునది",,
లోభనీయము/లోభ్యము,"మరులు కొలుపునది, ఆశ గలిగించునది, ఆకర్షించునది",,
లోభి,"లోభము గలవాడు, దురాశగలవాడు 2.కోరికగలవాడు, ఆసక్తిగలవాడు ౩.మరులుకొలుపువాడు, మోహపెట్టువాడు",,
లోమావాహి,ఈకలు గలది 2.వెండ్రుకను సైతము నఱకునంతటి వాడికలది,,
లోమళము,"వెండ్రుకలు గలది, బొచ్చుకలది 2.రోమములతోజేసినది, రోమమయము ౩.గొఱ్ఱెలు మున్నగువాని బొచ్చు ఆసక్తి గలది 5.పచ్చిక బలిసినది",,
లోమహర్షణము,గగుర్పాటు గలిగించునది,,
లోమహర్షి,"గగుర్పాటు గలవాడు, గగుర్పాటుగలది",,
