adjective,meaning,Primary sense-type,Secondary sense-type
అగ్నిదుడు,"నిప్పుఇచ్చువాడు,ఇల్లు మొ..కాల్చువాడు",,
అగ్నిదూషితము,వాతవేయబడినది,,
అగ్నిశిఖము,నిప్పువంటికొనలుగలది,,
ఆగ్నిష్టము,అగ్నియందుగాని దానిసమీపమందుగానియుండునది,,
అగ్నిసంభవము,అగ్నినుండిపుట్టినది,,
అగ్నిసాక్షి/అగ్నిసాక్షికము,"అగ్నిసాక్షిగాకలది,అగ్నియెదుటజరిగినది",,
అగ్నీయము,"అగ్నిసమీపముననున్నది,అగ్నిసంబంధమైనది",,
అగ్నీషోమీయము,అగ్నియు సోముడును దేవతలుగాగలది,,
అగ్రగణ్యుడు,మొదటివాడుగానెన్నదగినవాడు-ముఖ్యుడు,,
అగ్రజుడు,మొదట పుట్టినవాడు,,
అగ్రణి,"ముఖ్యుడు,శ్రేష్టుడు",,
అగ్రతస్సరుడు,"ముందు నడుచువాడు,మొదటివాడు",,
అగ్రపాతి,ముందుసంభవించునది,,
అగ్రభుక్కు(జుడు),"మొదటతినువాడు,ఔదరికుడు,తిండిపోతు",,
అగ్రము,"ప్రధమము,మొదటిది,ప్రధానము,ముఖ్యము,మిక్కుటము,అధికము",,
అగ్రయానము,ముందునడుచునది,,
అగ్రయాయి/అగ్రసరుడు,"ముందుపోవువాడు,అగ్రగామి,మొదటివాడు,శ్రేష్టుడు",,
అగ్రామ్యము,"గ్రామ్యముకానిది,నగరమందలిది,అపభ్రంశముకానిది,శాస్త్రసమ్మతము",,
అగ్రాహ్యము,"గ్రహింపదగనిది,పుచ్చుకొనదగనిది,తెలిసికొనదగనిది,అంగీకరింపదగనిది,నమ్మదగనిది",,
అగ్రిముడు,"మొదటివాడు,ముందరివాడు,శ్రేష్ఠుడు,ఉత్తముడు,ప్రధానుడు,పెద్దవాడు",,
అఘటమానము,"ఘటిల్లనిది,సంభవింపనిది",,
అపభోజి,దేవపిత్రతిధులకుపెట్టకతానుతినువాడు,,
అఘశంసి,ఇతరులదోషములుప్రకటించువాడు,,
అఘాయువు,"పాపకార్యమునకై వినియోగపడెడి యాయువుగలవాడు,ఎల్లప్పుడును పాపము చేయువాడు",,
అఘోరము,"భయంకరముకానిది,దేనికంటేఘోరములేదోఅది-అతిభయంకరము",,
అఘోషము,ధ్వనిలేనిది,,
అఘ్రేయము,"అఘ్రానింపదగనిది,ఆఘ్రాణింపశక్యముకానిది",,
అచతురము,"నాలుగులేనిది,నేర్పరికానిది",,
అచరము,"కదలనిది,స్థావరము",,
అచలత్విట్టు,స్థిరమైనకాంతిగలది,,
అచలము,"చలింపనిది,స్థిరము,శాశ్వతము",,
అచాపలము,"చాపల్యములేనిది,స్థిరము",,
అచింతితము,"తలపబడనిది,అనుకొనబడనిది,ధ్యానింపబడనిది",,
అచింత్యము,చింతింపరానిది,,
అచిరము,"అల్పకాలముoడునది,క్షణికము,అల్పము,దీర్ఘముకానిది,కొలదికాలముక్రిందటిది",,
అచేతనము,"చైతన్యములేనిది,జడము",,
అచేష్టుడు,"నిస్చేష్టుడు,వ్యాపారరహితుడు",,
అచ్చము,"స్వచ్చము,నిర్మలము",,
అచ్చాళి(ళు),"జంజాటములేనివాడు,సంసారపుపీకులాట లేనివాడు",,
అచ్చు,"శుద్ధము,దోషములేనిది",,
అచ్చుకుప్ప,ధనవంతుడు,,
అచ్చము,"స్వచ్చము,నిర్మలమైనది",,
అచ్చిద్రము,"రంధ్రములేనిది,లోపము లేనిది",,
అచ్చిన్నము,"చేదింపబడనిది,నివారింపబడనిది,తొలగింపబడనిది,ఎడతెగనిది,సంతతము",,
అచ్చేద్యము,"చేదింప శక్యముకానిది,చేదింప దగనిది",,
అచ్యుతము,"జారనిది,పడనిది,నాశము లేనిది,స్థిరమైనది,భ్రష్టముకానిది,కారనిది",,
అజంభము,"పండ్లులేనిది,దంతములులేనిది",,
అజన్మము,జన్మములేనిది,,
అజన్యము,"పుట్టనిది,పుట్టింపదగనిది,జనులకు హితముకానిది",,
అజపుడు,"మంత్రములు క్రమముగా జదువనివాడు,మేకలకాపరి",,
అజము,పుట్టుకలేనిది,,
అజయుడు,"గెలుపులేనివాడు,జయములేనివాడు",,
అజయ్యము,జయింపశక్యముగానిది,,
అజరము,"ముదిమి లేనిది,క్షీణింపనిది",,
అజర్యము,"క్షీణింపనిది,తరుగనిది",,
అజస్రము,ఎడతెగనిది,,
అజాగరము,మెలకువ లేనిది,,
అజాతవ్యంజనుడు,స్ఫుటముగాని యౌవ్వనచిహ్నములుకలవాడు,,
అజాతవ్యవహారుడు,వ్యవహారము చేయదగినవయస్సురానివాడు,,
అజితుడు,గెలువబడనివాడు,,
అజినవాసి,అజినమును ధరించువాడు,,
అజిరీయము,అజీరమునకు సంబంధించినది,,
అజిహ్మగము,తిన్నగా వక్రము కాకుండాపోవునది,,
అజిహ్మము,"కుటిలము కానిది,ఋజువైనది,సరియైనది,నిష్కపటము,న్యాయమైనది",,
అజిహ్వము,జిహ్వ లేనిది,,
అజీర్ణము,"జీర్ణముకానిది,అరుగనిది",,
అజీర్ణి,అజీర్ణరోగముకలవాడు,,
అజీవనము,"జీవనము ప్రాణములేనిది,జీవనాధారము లేనిది",,
అజీవము,జీవములేనిది,,
అజేయము,గెలువదగనిది,,
అజ్జ,"అనుకూలము,తగినది",,
అజ్ఞాతము,తెలియబడనిది,,
అజ్ఞానము,"తెలివిలేనిది,బుద్ధిలేనిది",,
అజ్ఞాని,జ్ఞానములేనివాడు,,
అజ్ఞుడు,"తెలియనివాడు,ఎరుగనివాడు,మూర్ఖుడు,అల్పజ్నుడు",,
అటమటకత్తె,"మోసకత్తె,వంచకురాలు",,
అటము,"త్రిమ్మరునది,తిరుగనిది",,
అటువంటి,"తాద్రుశము,అట్టి",,
అట్టము,"ఎండినది,శుష్కము",,
అట్టహాసి,పెద్దనవ్వు నవ్వువాడు,,
అట్టిడు,"తాద్రుశుడు,అటువంటివాడు,సదృశుడు",,
అడకము,"అంతర్భూతము,లోపలఇమిడియున్నది",,
అడప,"తాంబూలము చుట్టిఇచ్చుసేవకుడు,సేవకురాలు",,
అడి,"వట్టిది,కేవలము,అల్పము",,
అడిగొట్టు,"కుత్సితుడు,తులువ",,
అడిబండ,"వట్టిబండ,మూర్ఖుడు",,
అడియ-అడియడు,పాదము,,
అడియరి,"పాదసేవకుడు,కింకరుడు,లుబ్ధుడు",,
అడుగు-అడ్గు,"క్రిందది,తక్కువది",,
అడ్డము,"నిరోధకము,అడ్డగించునది,నడుమనుండునది,అడ్డుగవచ్చునది",,
అడ్డాదిడ్డి-అడ్డదిడ్డము,"అక్రమము,అనర్హము",,
అణకము,"అల్పము,నీచము",,
అణవ్యము,పొలము,,
అణిష్టము/అణీయము,"సూక్ష్మతమము,మిక్కిలిచిన్నది",,
అణుకము,"మిక్కిలిచిన్నది,అతిసూక్ష్మము,నేర్పరి,నిపుణము",,
అణుమాత్రము,సూక్ష్మపరిమాణముగలది,,
అణువు,"అత్యల్పము,మిక్కిలిచిన్నది",,
అతంద్రుడు,"నిద్రలేనివాడు,అలసుడు కానివాడు",,
అతగుడు,"హీనుడు,దుర్భలుడు,అల్పుడు",,
